5547,凌睿,4,2018-12-20,"ofo小黄车濒临死亡之际，查莉继承杨永信衣钵，使用“电击疗法”使其死而复生，和TF男孩（Transformers）上演变形金刚版《水形物语》。爱如潮水，它将你我包围。
导演：幸亏拍得不错，不用回去继承亿万家产了。"
3351,李不言,2,2018-12-22,可能我太老了，已经完全失去了孩子的纯真，我惶恐地发现我已经无法欣赏这样的电影。因为我要看的是一群假装自己是孩子的大人过家家（里面没有一个真正的大人），这让我觉得有些脸红。而像《变形金刚》这样的系列电影，最终也成功地将电影变成了一种比肥皂剧还无聊的东西。电影并不是不可以幻想，不是不可以肤浅，但是在幻想和肤浅的前提下，为什么还无法呈现一些独属于电影这种形式才能收容的超越想象的东西？这实在是太让人难以接受了。既然都有“高等外星机械生命”“外星球大战”这样听上去就很炫酷的设定和背景了，为什么还要让我们看一个小女孩与她的外星宠物的故事并且假装自己乐在其中？片中小女孩查莉和宠物大黄蜂都在拼命对抗全世界，但我感受不到他们的“挣扎”，一切都是儿戏，所以我也不会在他们打败坏人后拍手叫好，我宁愿看他们俩谈恋爱。
1663,桃桃淘电影,4,2018-12-14,7分。耐克公子看样没法回去继承家产了。更像系列重启的一部，尤其是从形象上，更贴近回忆的样子，而不再是卖拷贝那种完全分不清谁是谁的一堆扭打在一起的铁。。。这一部娱乐性很强，有很多轻松搞笑的部分，大黄蜂主打萌宠狗狗设定，跟女主的互动总是萌和暖，整个一陪伴型机器人。另外，结合导演上一部动画片，缺失的父亲以及父亲的替补形象也算是作者标记了。以及，80年代的复古风和怀旧音乐真是这几年大片的主流啊！
1192,同志亦凡人中文站,3,2018-12-12,没有了卖拷贝的狂轰乱炸后，特效和剧情都节制了许多。能把变形金刚电影拍成少女成长日记，派拉蒙和腾讯影业是卯足了劲想收割女性观众群啊。Bumblebee真的是太萌了太萌了太萌了，到最后已经分不清是大黄蜂还是小黄人了，试问哪个妹子不想拥有这样一只乖巧的赛博宠物呢~~~
639,河狸,5,2019-01-04,撸猫撸狗都弱爆了，撸铁的妹子才是人生赢家。
595,鬼腳七,4,2018-12-14,忠犬大黄蜂和男友力max大黄蜂随意切换还是挺萌的，满满少女心的一部变形金刚。小支线不够到位，但是已经比爆炸贝的后几部好太多了。失声→收音机的设定很巧妙，亮点之一。
654,鱼龙舞,1,2018-12-24,"情节不流畅，拼凑感很强，不和逻辑的地方太多，感觉是想到哪儿就拍到哪儿。不管是动作场景、煽情、幽默的部分，还是表现家庭关系、友情羁绊，都很乏味，充斥着老旧的套路之感。大黄蜂在前半段就是挨打卖惨的卖萌奶狗，后半段恢复记后就是大杀四方拼命护主的苦情忠犬，片名可以改为大黄狗。人物角色都单薄无趣，想讲讲家庭关系的转变也没讲清楚，军方儿戏的表现更是令人瞠目结舌，结尾打败敌人，更是强行和女主角破除心魔联系上，弄得莫名其妙不伦不类。所以不用谈内涵了，这部电影连好莱坞爆米花片工业的平均水准都没达到"
492,阿暖,3,2018-12-19,可能大家对这个系列的预期真的是已经到了只要能看就立刻满分鼓励的地步
489,韦斯安徒生,3,2018-12-18,"我算看出来了，如今的好莱坞大片，但凡把80年代流行文化拉出来溜上一圈，就能大获好评。
影片的成长内核，在40年间已被作品讲烂，这个时候再拍一部没有哪怕丁点新鲜表达的大黄蜂版【ET】，真的有任何意义吗？
影片文本尤其糟糕，角色的关键行为大多只是为了剧情需要，丝毫不顾逻辑合理性，每个角色都仅仅是编剧的提线木偶。
为了让大黄蜂失语，强行让闪电搞坏了他的语音系统，你们见过审犯人对方还没开口就把犯人舌头割掉的吗？
为了让女主突破心理障碍，强行让她跳水救大黄蜂，然而这一动作除了完成人物弧光几乎没有实质性效果，两人对视一眼就从水底游上来了。
片中还有大量像这样动机不充分or无效果的角色行为，它们的存在都只是“剧情需要”。
这样一部亮点乏善可陈的电影，就要因为角色造型还原了动画，便让一群人捧上天？简直可笑，实在悲哀。"
358,巨米雨,4,2018-12-20,这是宠物电影啊，我的妈，我拒绝看宠物片还是没躲过大黄蜂，回家抱着狗哭泣，妈妈爱你（？）
356,大蒂茎蕾,1,2018-12-24,难看到我甚至有点想念Michael Bay。
348,Eveyのn个晴天,1,2018-12-17,烂番茄100%也真的是会骗人的！！！我敲nm被“变变系列最佳”虎得一愣一愣满怀期待去看，然后笑容逐渐消失呵呵呵（｡ӧ◡ӧ｡）。太狗血了吧！莫名其妙死了，槽点之多之俗不知道从哪说起，最致命是应该作为全片最核心部分的女主和大黄蜂的“羁绊”说服力太弱，完全无法让人共情。而且这么多刻意卖萌太消费大黄蜂了吧！人家好歹是个战士不是宠物好么？富二代导演瘾过完了回家好好继承千亿家业吧ok？我的天啊花了多少钱给了多少影评人把这部玩意儿这么吹上天啊？？！
326,渴望摄影之人,2,2018-12-22,请不要再出这种电影了。
213,荆棘,2,2018-12-24,果然还是魔弦传说的那个少爷导演…但是去电影院看变形金刚的人想看一个半小时的感情戏然后打10分钟？！不懂为什么有一颗文艺心的要拍这种题材，然后用不美的女主和没完没了的文戏折磨观众。说实话之前大黄蜂的适度萌很讨喜，但过度萌就真的有点腻歪。
